time,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
9.09,47,-351,-400,143
9.1,47,-333,-383,134
9.11,52,-316,-371,122
9.12,49,-317,-368,125
9.13,41,-311,-354,125
9.14,36,-305,-344,125
9.15,37,-315,-354,129
9.16,43,-316,-362,127
9.17,39,-284,-327,112
9.18,37,-279,-319,112
9.19,32,-273,-308,111
9.2,37,-243,-282,93
9.21,39,-242,-283,92
9.22,28,-251,-282,101
9.23,27,-252,-281,103
9.24,28,-241,-272,97
9.25,30,-233,-266,92
9.26,34,-220,-256,83
9.27,35,-216,-255,81
9.28,35,-220,-258,83
9.29,29,-194,-227,72
9.3,31,-170,-205,60
9.31,37,-180,-219,62
9.32,32,-168,-204,58
9.33,30,-141,-174,46
9.34,33,-138,-174,42
9.35,37,-129,-169,36
9.36,35,-120,-159,32
9.37,28,-111,-143,32
9.38,24,-96,-124,26
9.39,21,-88,-112,24
9.4,23,-63,-90,10
9.41,36,-36,-75,-10
9.42,41,-18,-63,-21
9.43,35,25,-14,-40
9.44,39,67,25,-63
9.45,56,110,51,-93
9.46,72,185,109,-140
9.47,72,222,146,-158
9.48,61,196,131,-139
9.49,64,163,95,-124
9.5,33,56,19,-55
9.51,1,-43,-48,11
9.52,6,-68,-78,22
9.53,12,-88,-103,28
9.54,7,-57,-68,15
9.55,10,-25,-39,-3
9.56,22,-18,-44,-12
9.57,22,-18,-43,-12
9.58,27,-13,-44,-17
9.59,34,-2,-40,-26
9.6,16,21,1,-29
9.61,16,70,49,-54
9.62,211,237,23,-235
9.63,535,736,196,-648
9.64,500,627,119,-575
9.65,104,-41,-151,-41
9.66,-96,-248,-157,162
9.67,-37,-240,-206,128
9.68,18,-119,-141,40
9.69,23,1,-27,-22
9.7,17,36,15,-37
9.71,22,57,31,-50
9.72,31,91,55,-72
9.73,40,118,74,-89
9.74,42,121,75,-92
9.75,38,113,71,-86
9.76,38,117,75,-89
9.77,50,148,94,-110
9.78,57,163,102,-121
9.79,49,171,118,-121
9.8,49,183,130,-127
9.81,62,195,130,-140
9.82,70,212,137,-151
9.83,78,230,147,-165
9.84,92,276,179,-194
9.85,114,322,204,-228
9.86,131,340,205,-246
